username,error_code,error_desc,error_details
illustratumable,200,Forbidden,User has been suspended: [illustratumable].
JS999,200,account exists,
AngryInfidel,200,account exists,
usausausamaga,200,Not Found Error,Could not find user with usernames: [usausausamaga].
Cherie75,200,account exists,
WarRoom,200,account exists,
SamHyde,200,account exists,
Adrian01,200,account exists,
Zhangjamie844,200,Forbidden,User has been suspended: [Zhangjamie844].
Isaojirou,200,Forbidden,User has been suspended: [Isaojirou].
BrianSussman,200,account exists,
Meyerben27,200,Not Found Error,Could not find user with usernames: [Meyerben27].
gardenGnostiic,200,account exists,
GregorioRodeo,200,Not Found Error,Could not find user with usernames: [GregorioRodeo].
Beeh,200,account exists,
ChrisGese,200,account exists,
willwhitez,200,Not Found Error,Could not find user with usernames: [willwhitez].
Mdgore1000,200,Forbidden,User has been suspended: [Mdgore1000].
JohnCampbell,200,account exists,
Wisemanmisty80,200,Not Found Error,Could not find user with usernames: [Wisemanmisty80].
Politocrit,200,account exists,
cholophyllqueer,200,Not Found Error,Could not find user with usernames: [cholophyllqueer].
Summanis,200,account exists,
ThunderRiffs87,200,Not Found Error,Could not find user with usernames: [ThunderRiffs87].
ExDemocrat,200,account exists,
MmmkayUltra,200,account exists,
Sassys8n,200,account exists,
TankFarrish,200,account exists,
SantaQ,200,account exists,
rmnewsfeed,200,account exists,
Kenneth88101,200,Not Found Error,Could not find user with usernames: [Kenneth88101].
Thedudeleal,200,Not Found Error,Could not find user with usernames: [Thedudeleal].
Jarngrimr,200,account exists,
Davidcanmoocanu,200,Not Found Error,Could not find user with usernames: [Davidcanmoocanu].
p0pRocKs,200,account exists,
Aaronallen80,200,Forbidden,User has been suspended: [Aaronallen80].
FreddyMaloof,200,Forbidden,User has been suspended: [FreddyMaloof].
Adavi322,200,Forbidden,User has been suspended: [Adavi322].
JSDunn,200,account exists,
Wrightz3bmw,200,Forbidden,User has been suspended: [Wrightz3bmw].
Robertsoncfc77,200,account exists,
KiaOptimaTurbo,200,Not Found Error,Could not find user with usernames: [KiaOptimaTurbo].
MikeEhrmantraut,200,account exists,
ZachDevore,200,account exists,
Angrywhitedad,200,account exists,
Mikesexton2020,200,Not Found Error,Could not find user with usernames: [Mikesexton2020].
PerihelionSol,200,Not Found Error,Could not find user with usernames: [PerihelionSol].
Rarevinyl2,200,Not Found Error,Could not find user with usernames: [Rarevinyl2].
Iamonlybooks,200,Not Found Error,Could not find user with usernames: [Iamonlybooks].
Guerettelisa69,200,Not Found Error,Could not find user with usernames: [Guerettelisa69].
JeannieGMG,200,Not Found Error,Could not find user with usernames: [JeannieGMG].
JAR2com,200,Forbidden,User has been suspended: [JAR2com].
skydancer46,200,account exists,
fusedotexe,200,Not Found Error,Could not find user with usernames: [fusedotexe].
ETETutor,200,account exists,
WyzeWildfire,200,Not Found Error,Could not find user with usernames: [WyzeWildfire].
rightLAD,200,account exists,
Dorfman,200,account exists,
Mags1791,200,account exists,
Aureum,200,account exists,
WillyBeaux,200,Not Found Error,Could not find user with usernames: [WillyBeaux].
JohnnyLanson,200,Forbidden,User has been suspended: [JohnnyLanson].
AlPereira,200,account exists,
Dren,200,account exists,
momofish,200,account exists,
TriggerTheLeft,200,account exists,
RonHall,200,account exists,
Scoutiver,200,account exists,
Wink2873,200,Not Found Error,Could not find user with usernames: [Wink2873].
